Code,OI/LO/KUSP,,,
OI.6.GQ.11.LO.11.U.1.K.6,A representative sample has the same defining characteristics as the population.,,,
OI.6.GQ.11.LO.11.U.1.K.7,"A representative sample can be obtained by using random sampling methods, including
- simple random sampling
- systematic random sampling",,,
OI.6.GQ.11.LO.11.U.1.SP.1,Identify the population for a statistical question.,,,
OI.6.GQ.11.LO.11.U.1.SP.2,Justify the use of data from a sample or a census in various situations.,,,
OI.6.GQ.11.LO.11.U.1.SP.3,Describe a representative sample for a population in relation to a statistical question.,,,
OI.6.GQ.11.LO.11.U.1.SP.4,Explain the process for obtaining a representative sample by using a chosen random sampling method.,,,
OI.6.GQ.11.LO.11.U.2,Data collected from a sample can be summarized by using statistics.,,,
OI.6.GQ.11.LO.11.U.2.K.1,Quantitative data are numerical data that can be discrete or continuous.,,,
OI.6.GQ.11.LO.11.U.2.K.2,"Discrete data are countable, specific values within a range, between which other values cannot exist.",,,
OI.6.GQ.11.LO.11.U.2.K.3,"Continuous data are measurable values within a range, between which infinitely many other values can exist.",,,
OI.6.GQ.11.LO.11.U.2.K.4,"Numbers used to describe a sample are called statistics, including
- mean
- median
- mode
- range",,,
OI.6.GQ.11.LO.11.U.2.K.5,"The mean describes the centre of a data set by using the sum of the data values divided by the number of data values, e.g., x̄=x1+x2+…xn/n",,,
OI.6.GQ.11.LO.11.U.2.K.6,"The median is the middle value, or the mean of the two middle values, in a set of data ordered numerically.",,,
OI.6.GQ.11.LO.11.U.2.K.7,The range is the difference between the maximum and minimum values of a data set.,,,
OI.6.GQ.11.LO.11.U.2.SP.1,"Determine mean, median, mode, and range for a set of quantitative data collected from a representative sample.",,,
OI.6.GQ.11.LO.11.U.2.SP.2,Compare statistics from two different samples of the same population.,,,
OI.6.GQ.11.LO.11.U.2.SP.3,"Draw conclusions about a population, using statistics from a representative sample.",,,
OI.7,Probability: Modelling randomness and quantifying the likelihood of events can inform decision making where uncertainty exists.,,,
OI.7.GQ.12,In what ways can likelihood be explained?,,,
OI.7.GQ.12.LO.12,Students interpret theoretical and experimental probability.,,,
